time,open,high,low,close,tick_volume,spread,real_volume
2024-01-03 07:00:00,2064.86,2065.94,2063.58,2064.12,1877,0,0
2024-01-03 08:00:00,2064.12,2065.42,2063.43,2064.31,2407,4,0
2024-01-03 09:00:00,2064.27,2064.3,2060.88,2062.99,3356,4,0
2024-01-03 10:00:00,2062.97,2064.36,2058.9,2060.08,3786,4,0
2024-01-03 11:00:00,2060.12,2060.62,2054.48,2056.83,3709,4,0
2024-01-03 12:00:00,2056.84,2057.18,2052.68,2054.95,3254,4,0
2024-01-03 13:00:00,2054.95,2055.68,2046.74,2047.6,3749,4,0
2024-01-03 14:00:00,2047.67,2048.36,2041.84,2045.7,5336,4,0
2024-01-03 15:00:00,2045.52,2047.96,2038.73,2041.02,6769,4,0
2024-01-03 16:00:00,2041.12,2042.33,2031.84,2037.94,8058,2,0
2024-01-03 17:00:00,2035.37,2048.75,2031.91,2032.6,9512,1,0
2024-01-03 18:00:00,2032.84,2036.02,2031.4,2032.45,6826,4,0
2024-01-03 19:00:00,2032.58,2033.73,2030.73,2033.38,4919,4,0
2024-01-03 20:00:00,2033.4,2036.34,2032.98,2035.85,3697,4,0
2024-01-03 21:00:00,2035.66,2042.3,2030.6,2036.7,7363,9,0
2024-01-03 22:00:00,2036.65,2042.32,2036.51,2041.0,4566,4,0
2024-01-03 23:00:00,2041.32,2041.8,2040.36,2041.27,1229,4,0
2024-01-04 01:00:00,2041.77,2043.93,2041.21,2043.03,1425,0,0
2024-01-04 02:00:00,2043.03,2043.2,2041.66,2042.19,1745,4,0
2024-01-04 03:00:00,2042.21,2043.32,2040.18,2042.28,3657,1,0
2024-01-04 04:00:00,2042.29,2044.72,2042.29,2044.62,3070,4,0
2024-01-04 05:00:00,2044.72,2046.89,2044.13,2044.67,2464,4,0
2024-01-04 06:00:00,2044.67,2044.73,2042.48,2043.13,2091,4,0
2024-01-04 07:00:00,2043.11,2044.37,2042.41,2043.81,2352,4,0
2024-01-04 08:00:00,2043.84,2048.66,2043.66,2047.26,3629,4,0
2024-01-04 09:00:00,2047.21,2049.55,2046.52,2047.63,3809,0,0
2024-01-04 10:00:00,2047.78,2048.64,2045.45,2046.81,4381,4,0
